name,email
"Sree Vijayananda Vidyalaya School, Nalkalikal","sreevijayanandavidyalaya@gmail.com"
"MDM EMLPS Thirumoolapuram","mdmlpschool@gmail.com"
"St.Mary`s E.M.L.P.S. Thumpamon","stmarysemlpschooltpn@gmail.com"
"Brotheren E. M. H.S. Kumbanad","bemhskmb@gmail.com"
"St. Thomas E. M. H.S Pandalam Kurumpala","hsstthomas8@gmail.com"
"St. Mary`s Residential E.M.H.S.S Mallassery","stmarysremhss@gmail.com"
"Pragathi E.M L.P.S Pramadom","pragathyschool@gmail.com"
"ASM EM LPS Vellakulangara","asmtem@gmail.com"
"BKG LPS Thirumoolapuram","balikamatomkglps@gmail.com"
"Vimalamatha U.P.S Chandanappally","mvimalamatha@gmail.com"
"Mar Severiose Memorial English Medium LP School, Kadapra","msmlpschool@gmail.com"
"St. Thomas E M U. P. S. Vennikulam","stthomasupsc@yahoo.com"
"SNV LPS Thirumoolapuram","thirumoolapuramsnvlpschool@gmail.com"
"C.M.S E.K.G L.P.S Mallappally","dineshlotus@gmail.com"
"S. N. E. M. L. P. S. Kunnamthanam","snem.school9@gmail.com"
"Ebenezer U.P.S Thekkuthode","ebenezerschool@gmail.com"
"DEEPTHI SPECIAL SCHOOL MANAKKALA","mail.deepthicentre@gmail.com"
"Mar Theophilos Bethany Convent Public School Vennikkulam","martheophilosbcpsvennikulam@gmail.com"
"Arogyamatha EM School, Vellachira","arogyamatha1987@gmail.com"
"Marthoma English Medium School, Edayaranmula","memps88@gmail.com"
"Infant Jesus E.M.L.P.S Thuvayoor","infantjesusthuvayoor@gmail.com"
"St Thomas English Medium UP School","stemsups@mail.com"
"MGM EMLPS Muthoor","christschoolmuthur@yahoo.co.in"
"Stella Mary`s (EM) LPS Valanjavattom","smaristvla@yahoo.com"
"St.Mary's English UPS Kuzhikkala","stmarysemupskuzhikkala@gmail.com"
"Good Shepherd EMHSS,Parumala","johnnie.jon@gmail.com"
"St.Josephs E M School Chethy","stjosephemc@gmail.com"
"Carmel Academy H S S Alappuzha","carmelacadem08@rediffmail.com"
"St. Mary`s Eng: L P S Punnapra","35227alappuzha@gmail.com"
"Neelamperoor St: George EMUPS","stgeorgeemupschool@gmail.com"
"Our Lady of Mercy HSS Aroor","34014alappuzha@gmail.com"
"Mahatma E M School Kattanam","admin36472@fedena.com"
"Ebenezer E M H S Kallissery","36069alp@gmail.com"
"St:Thomas L. P. S. Karthikapally","stthomaslpskply@gmail.com"
"Tiny Tots Junior School Thondankulangara","tinytotstk2015@gmail.com"
"S N Vidyapeedom Kayamkulam","snvkayamkulam@gmail.com"
"M A M U P School Pandanad","mamcs11@yahoo.co.in"
"Tiny Tots Junior School Alappuzha","mail@tinytots.in"
"St. Anne`s E M L P School Chengannur","stanns@gmail.com"
"B. B. L. P. S. Nangiarkulangara","bblpsngra@gmail.com"
"Darul Huda E M School Mannancherry","darulhudaems@gmail.com"
"S V E M L P School Pandanad","svemlps@gmail.com"
"Believer's Church English Medium School, Gurupuram","bcemsalpy@yahoo.co.in"
"ST. THOMAS HSS, NEERETTUPURAM, 689571 Phone No: 04772219573 Email ID: stneerattupuram@gmail.com","stneerattupuram@gmail.com"
"St:Michaels LPS Veliyanadu","srnoblesvm@gmail.com"
"S H E M School Kattanam","shemkattanam@gmail.com"
"SREE BHUVANESWARI  HSS, MANNAR, 689622 Phone No: 04792313731 Email ID: 36068alappuzha@gmail.com","36068alappuzha@gmail.com"
"KIT English H S Kareelakulangara","kitschool@gmail.com"
"BISHOP MOORE HSS, AKANATTUKARA, MAVELIKARA, 690110 Phone No: 04792303981 Email ID: bmhss04077@yahoo.co.in","bmhss04077@yahoo.co.in"
"Amala E M L P School Erezha","amalaemlps@gmail.com"
"St.Jude E M U P School Venmony","stjudevnmy@gmail.com"
"Thekkekara St. John`s LPS","stjohnslpthekkekara@gmail.com"
"Mar Evanious E M School Kallumala","marivaniosschoolkallumala@gmail.com"
"R.V.S.M L.P.S PRAYAR","rvsmlpsprayar@gmail.com"
"MARKAZ ENGLISH MEDIUM SCHOOL ZAKARIYABAZAR","markazemsalp@gmail.com"
"TEMPLE OF ENGLISH,ERAVUKAD","templeofenglish@gmail.com"
"Majlis E M School Kayamkulam","majlisschool@gmail.com"
"BRIGHTLAND DISCOVERY SCHOOL ALAPPUZHA","brightlanddiscoveryschool@gmail.com"
"St. Marys E M L P School Kallisseri","stmaryemupschool@yahoo.com"
"Matha Senior Secondary School, Alappuzha","school_matha@yahoo.com"
"Mount Carmel School Chengannur","carmelschool345@gmail.com"
"S N Viveka E M U P School Nooranadu","snvvk@gmail.com"
"M G M L P S Punnamood","mgm.mvk@gmail.com"
"Seventh Day Adventist H S S Mavelikara","sdahss@gmail.com"
"De Paul HSS NAZARETH HILL","depaulhss@ymail.com"
"K.E.H.S.S Mannanam","kescom@rediffmail.com"
"ST. GEORGE EM HSS, THALAYOLAPARAMBU P.O., KOTTAYAM, 686605 Phone No: 04829-238322 Email ID: stgeorgeemhss@yahoo.co.in","stgeorgeemhss@yahoo.co.in"
"AKJM EM HSS, KANJIRAPALLY, KOTTAYAM, 686507 Phone No: 04828202566 Email ID: akjmschool@gmail.com","akjmschool@gmail.com"
"St.Joseph's E .M. H.S. Neeloor","stjosephsemhsneeloor@gmail.com"
"KRISTU JYOTHI HSS, CHETHIPUZHA, KURISUMOODU P.O., CHANGANASSERY, 686104 Phone No: 04812722037 Email ID: kristujyotihss@gmail.com","kristujyotihss@gmail.com"
"MYCA EM School Kanjirappally","mycaschool@yahoo.com"
