name,email
"St. Michaels Public School - Ernakulam","nsmprincipal@gmail.com"
"St. Monica English Medium School - Kasaragod","alicesjaa@gmail.com"
"St. Pauls English Medium School - Kannur","binduedathattel@gmail.com"
"St. Pauls Public School - Kottayam","sabinaca@gmail.com"
"St. Peters Senior Secondary School - Ernakulam","stpeterskd@gmail.com"
"St. Rapheles Cathedral School - Palakkad","frsanilkuttipuzhakaran@gmail.com"
"St. Savio English Medium School - Kasaragod","jyothisjoseph44@gmail.com"
"St. Sebastian's Public School - Ernakulam","frhormismarottikudy70@gmail.com"
"St. Shantal English Medium School - Thiruvananthapuram","srphilidsfs@gmail.com"
"St. Stephen's Besania Public School - Ernakulam","besania@gmail.com"
"St. Thomas Central School - Alappuzha","fathernediyamalayil@gmail.com"
"St. Thomas Central School - Thiruvananthapuram","stcs.stcs@rediffmail.com"
"St. Thomas Public School - Ernakulam","stthomaspublicschoolpbvr@gmail.com"
"St. Thomas Public School - Ernakulam","ruby.cyriac@rediffmail.com"
"St. Xaviers Cmi School - Thrissur","stxavierscmischool14@gmail.com"
"St.Alphonsa Public School And Junior College - Kottayam","frjosethomas@gmail.com"
"St.Anne's Public School - Ernakulam","jessysabv@reddifmail.com"
"St.Antony's Public School - Thiruvananthapuram","srligixavier@gmail.com"
"St.Dominic Convent English Medium School - Palakkad","stdominicmkd@gmail.com"
"St.Elizebath English Medium School - Thrissur","seemsprincipal@gmail.com"
"St.George English Medium School - Kottayam","stgeorgeem@gmail.com"
"St.Gregorios English Medium School - Palakkad","principalsgems@gmail.com"
"St.John The Baptist's English School - Kottayam","cicykc@yahoo.com"
"St.Johns Visitation Public School,Muppathadam.Aluva - Ernakulam","srlucinajose@gmail.com"
"St.Joseph Public School - Ernakulam","srteresacsst@gmail.com"
"St.Joseph's Public School - Ernakulam","sherlyg9@gmail.com"
"St.Joseph's Public School, Chemboor - Thiruvananthapuram","biojust.ck@gmail.com"
"St.Josephs Nazareth School - Kollam","stjosephsnazarethschool@gmail.com"
"St.Mary's English Medium School - Kasaragod","maryperiyattadukkam@gmail.com"
"St.Mary's English Medium School - Kasaragod","srlillyparappilly@yahoo.com"
"St.Mary's English Medium School, Kuzhichal - Kannur","kavithauss@gmail.com"
"St.Mary's Public School - Ernakulam","alvinos1425@gmail.com"
"St.Mary's Public School ,Mulakuzha - Alappuzha","presannjayan@gmail.com"
"St.Mary's School Angel Valley - Kottayam","stmarysangelvalley@rediffmail.com"
"St.Marys Bethany Central School - Kollam","sarammapanickersmbcs@gmail.com"
"St.Marys English Medium School - Thiruvananthapuram","srsophytd@gmail.com"
"St.Marys Englsih Medium School Mavoor - Kozhikode","mavoorstmaryeschool@gmail.com"
"St.Marys Public School - Ernakulam","stmaryspublicschoolrackad@gmail.com"
"St.Marys Public School Panamaram. - Wayanad","stmarysvidyalayapnm@gmail.com"
"St.Paul's Central School - Palakkad","radhikagpinath@gmail.com"
"St.Pauls Bethany School - Ernakulam","stpaulsbethany@gmail.com"
"St.Raphaels Public School Kallur - Thrissur","straphaelspublicschool@gmail.com"
"St.Ritas Public School - Ernakulam","seeja6480@gmail.com"
"St.Thomas Public School - Kannur","palakeeljency1010@gmail.com"
"St.Xavier's Public School - Ernakulam","sheefdcc@rediffmail.com"
"Steinmont Public School - Kannur","steinmontcbse@gmail.com"
"Stella Maris Convent School - Ernakulam","marystephendm@gmail.com"
"Stella Maris English Medium School - Kasaragod","mabletherese@gmail.com"
"Stella Maris English Medium School - Pathanamthitta","sranniejosephdm@gmail.com"
"Stellamaris Boarding School - Kozhikode","santhoshtc24@gmail.com"
"Stratford Public School - Kollam","principalstratfordschool@gmail.com"
"Sundarsanam Central School - Pathanamthitta","bincycherian1974@gmail.com"
"Swami Ramdas Smaraka Saraswathi Vidya Mandir - Kasaragod","chandranmv3@yahoo.com"
"Swami Vivekananda Mission Central School - Thiruvananthapuram","svmcentralschool@gmail.com"
"Swami Vivekananda Public School - Kottayam","chitrasunil2012@gmail.com"
"Swamy Gopalananda Theeratha Saraswathy Vidya Nikethan - Ernakulam","vijayarookutty@gmail.com"
"Swathy Central School - Palakkad","shajithayil5946@gmail.com"
"Syndesmos Public School - Pathanamthitta","deepthi.mohankoyippuram@gmail.com"
"Syrian Jacobite Public School - Pathanamthitta","mathewzachariah2016@gmail.com"
"T K M Centenary Public School - Kollam","saboorabegum19@gmail.com"
"T O Ch (Residential) Public School - Kollam","pgbabu@gmail.com"
"Tagore Central School - Alappuzha","parrajmay10@gmail.com"
"Tagore Public School - Kasaragod","kanakapallyfrancis@gmail.com"
"Talent Public School - Ernakulam","talentschooloffice@gmail.com"
"Talent Public School - Ernakulam","annebabu1958@yahoo.co.in"
"Talent Public School - Malappuram","cynthiadas740@gmail.com"
"Tellicherry Public School - Kannur","reshmadivanad2016@gmail.com"
"Teresa Spinelli Public School - Ernakulam","23spinelli@gmail.com"
"Tgm Vidyaniketan - Kottayam","tgmvnm@gmail.com"
"Thahani English School - Kasaragod","veenamsksd@gmail.com"
"Thanbeehul Islam Central School - Kasaragod","principaltics@gmail.com"
"Thanveer Central School - Idduki","thanveercs@gmail.com"
"Thapovan Public School - Pathanamthitta","regemathew@yahoo.com"
"Thartheel Central School - Malappuram","nowshadc09@gmail.com"
"The Adventure Public School - Ernakulam","sibigeorge.2010@yahoo.com"
"The Bethlehem International","internationalbethlehem@gmail.com"
"The Charter School - Ernakulam","molly@charterschool.in"
"The Choice School - Ernakulam","adminschool@choicegroup.in"
"The Choice School, Manthanam P.O., Thiruvalla - Pathanamthitta","tvla.adminschool@choicegroup.in"
"The City Central School - Kollam","deepadas21@yahoo.com"
"The Dawn Public School - Ernakulam","thedawnpublicschool@gmail.com"
"The Delta Study - Ernakulam","principal@deltastudy.org"
"The Elegant Public School - Palakkad","psnnamboodiripad@yahoo.co.in"
"The Global Public School - Kasaragod","smithamovvar77@gmail.com"
"The Green Hills Public School - Wayanad","georgegreenhills@yahoo.co.in"
"The Harvest Public School - Malappuram","theharvestps@gmail.com"
"The High Range School - Idukki","ravichandran.halasyam@tgbl.com"
"The Horizon School - Malappuram","office@thehorizonschool.com"
"The Mother School - Kannur","tmschoolpnr@gmail.com"
"The Oxford School - Kozhikode","shajahan@oxford.edu.in"
"The Oxford School - Kollam","arparakal@gmail.com"
"The Oxford School - Thiruvananthapuram","principal@oxfordtvm.com"
"The Rajas International School - Kottayam","rajaschairman@gmail.com"
"The Sacred Heart Public School - Kottayam","fr.shijusebastian@gmail.com"
"The School Of The Good Shepherd - Thiruvananthapuram","info@goodshepherdtvm.org"
"The Sobha Academy - Palakkad","sobhaacademy@gmail.com"
"The Springs International Schools,Tana - Malappuram","mail@thespringsschool.in"
"The Swiss Central School - Thiruvananthapuram","shinematt7@gmail.com"
"The Trivandrum Scottish School - Thiruvananthapuram","sushamadevins@gmail.com"
"The Village International School - Idduki","VILLAGEINSCHOOL@YAHOO.COM"
"The Warwin School - Thrissur","mail@warwinschool.com"
"The White School - Malappuram","principal@idealpublicschool.in"
"The White School - Kozhikode","operations@thewhiteschool.in"
"Thrithala English Medium School - Palakkad","marykuttyjoseph1958@mail.com"
"Thuchathacharya Vidyalayam - Kannur","okbiji@gmail.com"
"Thunchan Smaraka Public School - Thiruvananthapuram","sunilwish@gmail.com"
"Tisk English Medium School - Kannur","tiskprincipal@yahoo.com"
"Tk Trust Public School - Kozhikode","tkpublicschool@gmail.com"
"Toc H Public School - Ernakulam","tochkochi19@gmail.com"
"Toch Residential Public School - Palakkad","junegeorge4@gmail.com"
"Tolins World School - Ernakulam","principal@tolinsschool.org"
"Travancore Devaswom Board Central School - Kollam","bijus_sivadas@yahoo.com"
"Travancore Devaswom Board Central School - Kollam","rekhalekshmisaju@gmail.com"
"Travancore Devaswom Board Central School - Kollam","camusrajmohan@gmail.com"
"Travancore International School - Pathanamthitta","principal@travancoreschool.in"
"Trinity Garden Public School - Idukki","TRINITYGARDEN@BSNL.IN"
"Trinity Lyceum - Kollam","sathpeetvidyalaya@gmail.com"
"True Light English School - Kannur","truelightkerala@gmail.com"
"Umariyya Public School - Thrissur","principal.umariyya@gmail.com"
"Umeri English School - Malappuram","tessy272@gmail.com"
"Ursuline English Medium School - Kannur","srsherilthomas@gmail.com"
"Ursuline Public School - Kasaragod","srlincyk@gmail.com"
"Ursuline Senior Secondary School - Kannur","svpmalil@gmail.com"
"Ushus English School - Malappuram","ravikumarliza@yahoo.com"
"V N S S S N Trust Central School - Alappuzha","mailtosusanthomas@yahoo.com"
"V S S C Central School - Thiruvananthapuram","school@vssc.org"
"V.P. Mahamood Haji Memorial English School - Kannur","hamichovva@gmail.com"
"Vadi Husna Public School - Kozhikode","shakikp@rediffmail.com"
"Vaduthala Jama Ath English Medium Public School - Alappuzha","binipandala@gmail.com"
"Valiyam Central School - Kollam","vcsschool@gmail.com"
"Varmas Public School - Kottayam","indian_jojigeorge@yahoo.co.in"
"Vasavi Vidyalaya - Palakkad","vasavividyalayapkd@gmail.com"
"Vedavyasa Vidyalayam - Kozhikode","VVVPRINCIPAL@GMAIL.COM"
"Vidhya Vihar Central School - Thrissur","vbindhu34@gmail.com"
"Vidhyadhiraja Vidya Bhavan Senior Secondary School - Ernakulam","mohanmathewp6@gmail.com"
"Vidya Jyothi Central School - Kollam","vjcs09@rediffmail.com"
"Vidya Prakash Public School - Kozhikode","sreelathark@gmail.com"
"Vidyadhi Raja Vidhya Peetom Central School - Alappuzha","prakash_valiathan@yahoo.com"
"Vidyamount Public School - Thiruvananthapuram","sreejan222@gmail.com"
"Vidyanagar Public School - Malappuram","vidyanagarps@gmail.com"
