name,email
"JNANODAYA CENTRAL SCHOOL","jnanodayacs@yahoo.com"
"THS SALUVA","thssaluva@ihrd.ac.in"
"GBHSS ALUVA","gbhssaluva@gmail.com"
"GODS OWN SCHOOL CHOONDI","godsownschoolchoondi@gmail.com"
"GHS 1 ALUVA","ghs1aluva@gmail.com"
"ASOKA FUNCTIONAL PREPARATORY SCHOOL","asokafunc@gmail.com"
"HOLY GHOST CONVENT GHS","holyghostconventghs@gmail.com"
"ALUVA SNDP HS","aluvasndphs@gmail.com"
"ST MARYS HS MANJAPRA","stmaryshs28026@gmail.com"
"ST MARYS LPS MANJAPRA","stmaryslpsmanjapra@gmail.com"
"ST FRANCIS XAVIERS HS SALUVA","sfhss.aluva@gmail.com"
"ST JOHNS BAPTIST HSS ALUVA","sjbhs@gmail.com"
"ST FRANCIS XAVIERS APS ALUVA","stfxaluvaps@gmail.com"
"IHRD HS SALUVA","ihssaluva72@gmail.com"
"JEEVAS PUBLIC SCHOOL","office@jeevass.org"
"GLPS EAST KADUNGALLOOR","glpseastkadungalloor@gmail.com"
"GLPS ULIYANNOOR","glpsuliyannoor@gmail.com"
"GHS BINANIPURAM","ghsbinanipuram@gmail.com"
"GHS WEST KADUNGALLOOR","kadungalloorpanchayat@gmail.com"
"HIDAYATHUL MUSLIMEEN UPS","contact@rajashreesmm.com"
"RAJASHREE S M MEMORIAL SCHOOL","principalghssmuppathadam@gmail.com"
"GHSS MUPPATHADOM","visitationsch@gmail.com"
"ST JOHNS VISITATIONS PUBLIC SCHOOL","ashanilayamspl@gmail.com"
"WE CARE SPECIAL SCHOOL","jama.ath.ups@gmail.com"
"KHADAR HAJI MEMORIAL SPECIAL SCHOOL","kadungalloorpanchayat@gmail.com"
"SETTLEMENT GLPS ALUVA","settlementglps@gmail.com"
"NATIONAL IDEAL SCHOOL KADOOPADAM","managerofficial5443@gmail.com"
"GOVT MIUPS VELIYATHUNAD","gmiups14@gmail.com"
"THE ALWAYE SETTLEMENT HSS","alwaye_settlement@yahoo.co.in"
"JYOTHY NIVAS PUBLIC SCHOOL","jyothinivasaluva@gmail.com"
"THE ALWAYE SETTLEMENT EMLPS","pblcschl@yahoo.co.in"
"ALANGAD JAMA ATH PUBLIC SCHOOL","alangadgramapanchayat@gmail.com"
"GLPS THIRUVALLOOR","panshm2513136@gmail.com"
"GHSS KONGORPPILLY","thiruvallurgp@gmail.com"
"KEMHS ALANGAD","alangad.kemhs@gmail.com"
"LITTLE FLOWER HS PANAIKULAM","lfhspanaikulam@gmail.com"
"LITTLE FLOWER LPS OLANAD","olanadlflps@gmail.com"
"SN LPS KODUVAZHANGA","snlpskoduvazhanga@gmail.com"
"ST MARYS LPS ALANGAD","stmarysaldlps@gmail.com"
"INFANT JESUS PUBLIC SCHOOL ALANGAD","infantmissionary@gmail.com"
"SRI SAI VIDYA VIHAR","sssvvaluva@gmail.com"
"VISWA DEEPTHI VIDYALAYA","veact@rediffmail.com"
"KEM PRIMARY SCHOOL","kemkongad@gmail.com"
"AL HUDA PUBLIC SCHOOL PANAYIKULAM","alhudhapublicschool@gmail.com"
"BUDS SPECIAL SCHOOL ALANGAD","41513klm@gmail.com"
"AKAVOOR HS","akavoorhs@gmail.com"
"ST JOSEPHS CGHS KANJOOR","stjosephscghs-kanjoor@rediffmail.com"
"UNION LPS KANJOOR","unionlpskanjoor@gmail.com"
"LITTLE FLOWER ACADEMY CST","littlefloweracademycst@gmail.com"
"ST MARYS LPS KANJOOR","stmaryslpskanjoor@gmail.com"
"ST JOSEPHS GHS CHENGAL KALADY","stjosephschengal@yahoo.com"
"ST SEBASTIANS HS KANJOOR","kanjoorstsebastianhs@gmail.com"
"Sakthan Thampuran Memorial Ups","stmupsputhiyedam@gmail.com"
"GHSS CHOWARA","chowara.ghss@gmail.com"
"GLPS SREEMOOLANAGARAM","glpssmn@gmail.com"
"KERALA VARMA SANSKRIT UPS","argaluvaoffice123@gmail.com"
"ST JOSEPHS LPS THEKKUMBHAGAM","sjlpstkm@gmail.com"
"VIJNANAPEEDOM EMHS EDANAD","vijnanam1976@gmail.com"
"ST AUGUSTINES LPS EDANAD","augustinesedanad@gmail.com"
"AL AMEEN PUBLIC SCHOOL","mail@al-ameen.ac.in"
"MES CENTRAL SCHOOL CHOWARA","meskwara@gmail.com"
"AKAVOOR LPS THEKKUMBHAGAM","akavoorprimary@gmail.com"
"VIJNANAPEEDOM PUBLIC SCHOOL EDANAD","vijnanam2012@gmail.com"
"NAGEL BHAVAN KANJOOR","naglevb@gmail.com"
"CORDOVA HIGH MADRASA","cordovahss@gmail.com"
"HIDAYATHUL ISLAM EMUPS PURAYAR","purayarmuslimjamaath@gmail.com"
"MKM LPS KANJOOR PARAPPURAM","mkmlpsparpm@gmail.com"
